id;gemeinde_id;name;plz;kanton_id;e;n;sprache;favorite
192;159;Uetikon am See;8707;ZH;8.68226867462915;47.2712032057442;de;false
193;160;Zumikon;8126;ZH;8.62584211354598;47.3358962556055;de;false
194;161;Zollikerberg;8125;ZH;8.6082216554899;47.3446524267761;de;false
195;161;Zollikon;8702;ZH;8.58067736419162;47.341549430766;de;false
196;172;Illnau;8308;ZH;8.74731700608751;47.4042832367312;de;false
197;172;Fehraltorf;8320;ZH;8.7505211865444;47.3874052686299;de;false
198;173;Hittnau;8335;ZH;8.82981832340394;47.3672278630916;de;false
199;176;Kemptthal;8310;ZH;8.70372588518505;47.4488729842535;de;false
200;176;Grafstal;8310;ZH;8.69743127773599;47.4442862984579;de;false
201;176;Winterberg ZH;8312;ZH;8.690739154903;47.4571110347464;de;false
202;176;Lindau;8315;ZH;8.67737546627661;47.4436286486562;de;false
203;176;Tagelswangen;8317;ZH;8.66900914996846;47.4267606552731;de;false
204;177;Pfäffikon ZH;8330;ZH;8.79636014850943;47.3669054118226;de;false
205;177;Auslikon;8331;ZH;8.80939931655543;47.3463977922392;de;false
207;178;Madetswil;8322;ZH;8.79374721766334;47.4122057244665;de;false
208;178;Gündisau;8322;ZH;8.80538207529191;47.3983067511436;de;false
209;178;Russikon;8332;ZH;8.78309617408447;47.3953141508813;de;false
210;178;Rumlikon;8332;ZH;8.76181946984134;47.4083687538757;de;false
211;180;Agasul;8308;ZH;8.74681136068083;47.4268237173334;de;false
212;180;Weisslingen;8484;ZH;8.77261163376546;47.4353615027345;de;false
213;180;Neschwil;8484;ZH;8.79457655494649;47.4271820569377;de;false
214;180;Theilingen;8484;ZH;8.76489293539688;47.4173970356433;de;false
215;180;Rikon im Tösstal;8486;ZH;8.78679514593996;47.4480165590016;de;false
216;181;Wila;8492;ZH;8.86738029706225;47.4005575706858;de;false
217;181;Saland;8493;ZH;8.85804817777772;47.3968439247724;de;false
219;182;Turbenthal;8488;ZH;8.83155023145853;47.4390308787116;de;false
220;182;Wildberg;8489;ZH;8.81964974361478;47.4274741841813;de;false
221;182;Schalchen;8489;ZH;8.83342366324577;47.4055508803022;de;false
222;182;Ehrikon;8489;ZH;8.81207400928704;47.4163544365271;de;false
223;191;Gockhausen;8044;ZH;8.6044255949448;47.378461956744;de;false
224;191;Zürich;8051;ZH;8.58902223352057;47.3935064866563;de;true
226;191;Schwerzenbach;8603;ZH;8.64633640755595;47.3864650952768;de;false
228;192;Egg b. Zürich;8132;ZH;8.68762614444678;47.2927302791208;de;false
229;192;Hinteregg;8132;ZH;8.68454745635515;47.3110820842865;de;false
230;192;Esslingen;8133;ZH;8.71608499778893;47.2892324655344;de;false
231;193;Fällanden;8117;ZH;8.64085556537135;47.3703800595246;de;false
232;193;Pfaffhausen;8118;ZH;8.62583412464296;47.3660766298703;de;false
233;193;Benglen;8121;ZH;8.63674592567699;47.3612086454893;de;false
234;194;Greifensee;8606;ZH;8.67978104151809;47.3661795744498;de;false
235;195;Binz;8122;ZH;8.62714754196478;47.3566886159337;de;false
236;195;Ebmatingen;8123;ZH;8.63942801606883;47.3513960046689;de;false
237;195;Maur;8124;ZH;8.67057225508679;47.3325200417147;de;false
244;198;Gutenswil;8605;ZH;8.7146734553444;47.3767945769044;de;false
245;198;Nänikon;8606;ZH;8.69281263262618;47.371365531472;de;false
246;198;Uster;8610;ZH;8.72271709383052;47.3527502296717;de;true
247;198;Sulzbach;8614;ZH;8.74673615657625;47.3272466805448;de;false
248;198;Wermatswil;8615;ZH;8.74061789845499;47.3659091459625;de;false
249;198;Freudwil;8615;ZH;8.73256365250822;47.376688193574;de;false
